时间,位移,力
(s),(mm),(N)
37.5,240,1.6294
37.55,240,1.6277
37.6,240,1.627
37.65,240,1.6264
37.7,240,1.6253
37.75,240,1.625
37.8,240,1.6243
37.85,240,1.6238
37.9,240,1.6252
37.95,240,1.6226
38,240,1.6222
38.05,240,1.6224
38.1,240,1.6225
38.15,240,1.621
38.2,240,1.6212
38.25,240,1.6189
38.3,240,1.6188
38.35,240,1.619
38.4,240,1.6181
38.45,240,1.618
38.5,240,1.6176
38.55,240,1.617
38.6,240,1.6162
38.65,240,1.6155
38.7,240,1.6154
38.75,240,1.6139
38.8,240,1.6151
38.85,240,1.6138
38.9,240,1.6126
38.95,240,1.613
39,240,1.6118
39.05,240,1.6115
39.1,240,1.6102
39.15,240,1.6105
39.2,240,1.6098
39.25,240,1.609
39.3,240,1.609
39.35,240,1.6087
39.4,240,1.6082
39.45,240,1.6087
39.5,240,1.6074
39.55,240,1.6069
39.6,240,1.6052
39.65,240,1.6051
39.7,240,1.6055
39.75,240,1.6044
39.8,240,1.605
39.85,240,1.6042
39.9,240,1.6035
39.95,240,1.6035
40,240,1.6019
40.05,240,1.6016
40.1,240,1.6013
40.15,240,1.6006
40.2,240,1.6005
40.25,240,1.6001
40.3,240,1.5995
40.35,240,1.5987
40.4,240,1.598
40.45,240,1.5968
40.5,240,1.5982
40.55,240,1.5972
40.6,240,1.5969
40.65,240,1.5953
40.7,240,1.5965
40.75,240,1.5943
40.8,240,1.596
40.85,240,1.5952
40.9,240,1.5936
40.95,240,1.5925
41,240,1.5923
41.05,240,1.5922
41.1,240,1.5915
41.15,240,1.5921
41.2,240,1.5908
41.25,240,1.5909
41.3,240,1.5901
41.35,240,1.5887
41.4,240,1.5894
41.45,240,1.5892
41.5,240,1.5886
41.55,240,1.5879
41.6,240,1.5863
41.65,240,1.5862
41.7,240,1.5876
41.75,240,1.5861
41.8,240,1.5857
41.85,240,1.5847
41.9,240,1.5844
41.95,240,1.5845
42,240,1.5838
42.05,240,1.5822
42.1,240,1.5835
42.15,240,1.5824
42.2,240,1.5813
42.25,240,1.5819
42.3,240,1.581
42.35,240,1.5806
42.4,240,1.58
42.45,240,1.5785
42.5,240,1.5791
42.55,240,1.5787
42.6,240,1.579
42.65,240,1.5787
42.7,240,1.577
42.75,240,1.5773
42.8,240,1.5761
42.85,240,1.5763
42.9,240,1.5753
42.95,240,1.5744
43,240,1.5747
43.05,240,1.5742
43.1,240,1.5734
43.15,240,1.5738
43.2,240,1.5733
43.25,240,1.5731
43.3,240,1.5724
43.35,240,1.5712
43.4,240,1.5717
43.45,240,1.5704
43.5,240,1.5706
43.55,240,1.5709
43.6,240,1.5694
43.65,240,1.569
43.7,240,1.5684
43.75,240,1.5691
43.8,240,1.5668
43.85,240,1.5677
43.9,240,1.5698
43.95,240,1.5643
44,240,1.5687
44.05,240,1.5648
44.1,240,1.5653
44.15,240,1.5655
44.2,240,1.5655
44.25,240,1.563
44.3,240,1.5622
44.35,240,1.5612
44.4,240,1.5651
44.45,240,1.5623
44.5,240,1.563
44.55,240,1.5611
44.6,240,1.563
44.65,240,1.5612
44.7,240,1.5603
44.75,240,1.5593
44.8,240,1.5594
44.85,240,1.559
44.9,240,1.5588
44.95,240,1.5594
45,240,1.5584
45.05,240,1.5572
45.1,240,1.5568
45.15,240,1.5566
45.2,240,1.5569
45.25,240,1.5563
45.3,240,1.5556
45.35,240,1.5555
45.4,240,1.5547
45.45,240,1.5544
45.5,240,1.5537
45.55,240,1.5545
45.6,240,1.5514
45.65,240,1.5541
45.7,240,1.5516
45.75,240,1.553
45.8,240,1.5513
45.85,240,1.5517
45.9,240,1.55
45.95,240,1.5527
46,240,1.5494
46.05,240,1.5493
46.1,240,1.5494
46.15,240,1.5466
46.2,240,1.5496
46.25,240,1.5493
46.3,240,1.5479
46.35,240,1.5474
46.4,240,1.548
46.45,240,1.5456
46.5,240,1.5472
46.55,240,1.5457
46.6,240,1.545
46.65,240,1.5452
46.7,240,1.5447
46.75,240,1.5439
46.8,240,1.5443
46.85,240,1.5445
46.9,240,1.5414
46.95,240,1.5442
47,240,1.5425
47.05,240,1.542
47.1,240,1.5426
47.15,240,1.5409
47.2,240,1.541
47.25,240,1.5398
47.3,240,1.5407
47.35,240,1.5396
47.4,240,1.5392
47.45,240,1.5392
47.5,240,1.538
47.55,240,1.5376
47.6,240,1.5386
47.65,240,1.5381
47.7,240,1.538
47.75,240,1.5373
47.8,240,1.536
47.85,240,1.5366
47.9,240,1.5364
47.95,240,1.5355
48,240,1.5345
48.05,240,1.5348
48.1,240,1.5347
48.15,240,1.5334
48.2,240,1.5335
48.25,240,1.5334
48.3,240,1.5335
48.35,240,1.5333
48.4,240,1.5319
48.45,240,1.5315
48.5,240,1.5311
48.55,240,1.5307
48.6,240,1.5301
48.65,240,1.5309
48.7,240,1.5303
48.75,240,1.5293
48.8,240,1.5294
48.85,240,1.5293
48.9,240,1.5288
48.95,240,1.5284
49,240,1.5273
49.05,240,1.5278
49.1,240,1.5272
49.15,240,1.5281
49.2,240,1.5265
49.25,240,1.5262
49.3,240,1.5254
49.35,240,1.525
49.4,240,1.5247
49.45,240,1.5251
49.5,240,1.5243
49.55,240,1.5243
49.6,240,1.5243
49.65,240,1.5234
49.7,240,1.522
49.75,240,1.5242
49.8,240,1.5225
49.85,240,1.5204
49.9,240,1.5212
49.95,240,1.5208
50,240,1.5214
50.05,240,1.5208
50.1,240,1.5202
50.15,240,1.5205
50.2,240,1.5216
50.25,240,1.5191
50.3,240,1.5183
50.35,240,1.5184
50.4,240,1.5178
50.45,240,1.5191
50.5,240,1.5177
50.55,240,1.5172
50.6,240,1.5164
50.65,240,1.518
50.7,240,1.5165
50.75,240,1.5151
50.8,240,1.5161
50.85,240,1.514
50.9,240,1.5151
50.95,240,1.5149
51,240,1.5147
51.05,240,1.5143
51.1,240,1.5129
51.15,240,1.5134
51.2,240,1.5123
51.25,240,1.5129
51.3,240,1.512
51.35,240,1.5128
51.4,240,1.5112
51.45,240,1.5113
51.5,240,1.5121
51.55,240,1.511
51.6,240,1.5102
51.65,240,1.5095
51.7,240,1.5089
51.75,240,1.5093
51.8,240,1.5092
51.85,240,1.5088
51.9,240,1.5089
51.95,240,1.5083
52,240,1.5086
52.05,240,1.5078
52.1,240,1.5067
52.15,240,1.5066
52.2,240,1.5066
52.25,240,1.5056
52.3,240,1.5058
52.35,240,1.5054
52.4,240,1.5057
52.45,240,1.505
52.5,240,1.5053
52.55,240,1.503
52.6,240,1.5042
52.65,240,1.5035
52.7,240,1.5035
52.75,240,1.5034
52.8,240,1.5023
52.85,240,1.5022
52.9,240,1.5024
52.95,240,1.5016
53,240,1.5017
53.05,240,1.5
53.1,240,1.5009
53.15,240,1.5003
53.2,240,1.5003
53.25,240,1.5001
53.3,240,1.5003
53.35,240,1.4993
53.4,240,1.4988
53.45,240,1.4995
53.5,240,1.4975
53.55,240,1.4976
53.6,240,1.4973
53.65,240,1.4971
53.7,240,1.4972
53.75,240,1.4976
53.8,240,1.4964
53.85,240,1.4966
53.9,240,1.4951
53.95,240,1.4957
54,240,1.4957
54.05,240,1.4943
54.1,240,1.4937
54.15,240,1.495
54.2,240,1.4941
54.25,240,1.4951
54.3,240,1.4927
54.35,240,1.4936
54.4,240,1.4931
54.45,240,1.4927
54.5,240,1.4921
54.55,240,1.4912
54.6,240,1.4923
54.65,240,1.4916
54.7,240,1.4911
54.75,240,1.4908
54.8,240,1.4899
54.85,240,1.4902
54.9,240,1.4898
54.95,240,1.4904
55,240,1.4898
55.05,240,1.488
55.1,240,1.4901
55.15,240,1.4873
55.2,240,1.4883
55.25,240,1.4893
55.3,240,1.487
55.35,240,1.4871
55.4,240,1.4856
55.45,240,1.487
55.5,240,1.4866
55.55,240,1.4867
55.6,240,1.4863
55.65,240,1.4849
55.7,240,1.4853
55.75,240,1.4862
55.8,240,1.4837
55.85,240,1.4873
55.9,240,1.4801
55.95,240,1.4845
56,240,1.4849
56.05,240,1.4828
56.1,240,1.4833
56.15,240,1.4825
56.2,240,1.4829
56.25,240,1.4821
56.3,240,1.4824
56.35,240,1.4816
56.4,240,1.4814
56.45,240,1.4801
56.5,240,1.4803
56.55,240,1.4797
56.6,240,1.4824
56.65,240,1.4787
56.7,240,1.4788
56.75,240,1.4796
56.8,240,1.4789
56.85,240,1.4783
56.9,240,1.4788
56.95,240,1.4779
57,240,1.4773
57.05,240,1.4786
57.1,240,1.4774
57.15,240,1.4756
57.2,240,1.476
57.25,240,1.4766
57.3,240,1.4766
57.35,240,1.4757
57.4,240,1.4747
57.45,240,1.4748
57.5,240,1.4759
57.55,240,1.476
57.6,240,1.4745
57.65,240,1.473
57.7,240,1.4738
57.75,240,1.4724
57.8,240,1.4732
57.85,240,1.4731
57.9,240,1.4727
57.95,240,1.473
58,240,1.4718
58.05,240,1.4717
58.1,240,1.4715
58.15,240,1.4717
58.2,240,1.471
58.25,240,1.4701
58.3,240,1.4701
58.35,240,1.4708
58.4,240,1.4706
58.45,240,1.47
58.5,240,1.4686
58.55,240,1.4701
58.6,240,1.4689
58.65,240,1.4688
58.7,240,1.4681
58.75,240,1.4682
58.8,240,1.4681
58.85,240,1.4687
58.9,240,1.466
58.95,240,1.4661
59,240,1.4675
59.05,240,1.4668
59.1,240,1.4658
59.15,240,1.4662
59.2,240,1.4655
59.25,240,1.4649
59.3,240,1.4667
59.35,240,1.4643
59.4,240,1.4647
59.45,240,1.4647
59.5,240,1.4633
59.55,240,1.4638
59.6,240,1.4629
59.65,240,1.4632
59.7,240,1.4631
59.75,240,1.4627
59.8,240,1.4629
59.85,240,1.4625
59.9,240,1.4617
59.95,240,1.4622
60,240,1.4607
60.05,240,1.4616
60.1,240,1.4612
60.15,240,1.4598
60.2,240,1.4612
60.25,240,1.4601
60.3,240,1.4601
60.35,240,1.4597
60.4,240,1.4603
60.45,240,1.4592
60.5,240,1.4586
60.55,240,1.4586
60.6,240,1.4582
60.65,240,1.4582
60.7,240,1.458
